trade_id,user_id,trade_date,trade_time,ticker,side,qty,entry_price,exit_price,fees,realized_pnl,strategy,hold_time_sec,note,mood,manual_tags,screenshot_url
1,None,2024-10-09,,AAPL,long,26.0,184.89,156.49,0.0,-738.3999999999994,,,,,,
2,None,2024-10-09,,MSFT,short,6.0,319.85,332.71,0.0,-77.15999999999974,,,,,,
3,None,2024-10-09,,MSFT,short,15.0,319.85,345.68,0.0,-387.44999999999976,,,,,,
4,None,2024-10-17,,AAPL,long,3.0,184.89,177.37,0.0,-22.559999999999945,,,,,,
5,None,2024-10-17,,AAPL,long,12.0,175.81,177.37,0.0,18.720000000000027,,,,,,
6,None,2024-10-17,,AAPL,short,5.0,177.37,170.81,0.0,32.80000000000001,,,,,,
7,None,2024-10-17,,MSFT,long,2.0,345.68,327.33,0.0,-36.700000000000045,,,,,,
8,None,2024-10-17,,MSFT,long,12.0,372.23,327.33,0.0,-538.8000000000004,,,,,,
9,None,2024-10-17,,MSFT,long,15.0,336.5,327.33,0.0,-137.55000000000024,,,,,,
10,None,2024-10-21,,AMZN,long,10.0,138.24,130.7,0.0,-75.4000000000002,,,,,,
11,None,2024-10-21,,META,short,6.0,302.52,291.08,0.0,68.63999999999999,,,,,,
12,None,2024-10-22,,AMZN,short,12.0,130.7,144.61,0.0,-166.9200000000003,,,,,,
13,None,2024-10-22,,META,short,8.0,302.52,312.66,0.0,-81.12000000000035,,,,,,
14,None,2024-10-22,,META,short,10.0,302.52,293.76,0.0,87.59999999999991,,,,,,
15,None,2024-10-22,,META,short,2.0,302.82,293.76,0.0,18.120000000000005,,,,,,
16,None,2024-10-22,,META,short,1.0,307.46,293.76,0.0,13.699999999999989,,,,,,
17,None,2024-10-22,,MSFT,long,1.0,336.5,329.28,0.0,-7.220000000000027,,,,,,
18,None,2024-10-22,,NVDA,long,19.0,497.63,511.52,0.0,263.90999999999974,,,,,,
19,None,2024-10-22,,NVDA,long,2.0,476.78,511.52,0.0,69.48000000000002,,,,,,
20,None,2024-10-22,,NVDA,long,6.0,476.78,476.17,0.0,-3.659999999999741,,,,,,
21,None,2024-10-23,,AAPL,long,23.0,170.81,188.38,0.0,404.10999999999984,,,,,,
22,None,2024-10-23,,AAPL,long,1.0,181.77,188.38,0.0,6.609999999999985,,,,,,
23,None,2024-10-23,,META,short,8.0,307.46,305.73,0.0,13.83999999999969,,,,,,
24,None,2024-10-25,,META,short,10.0,307.46,320.51,0.0,-130.5000000000001,,,,,,
25,None,2024-10-25,,MSFT,long,3.0,336.5,315.21,0.0,-63.87000000000006,,,,,,
26,None,2024-10-25,,MSFT,long,5.0,343.57,315.21,0.0,-141.80000000000007,,,,,,
27,None,2024-10-29,,AAPL,long,25.0,181.77,192.21,0.0,260.99999999999994,,,,,,
28,None,2024-10-29,,AAPL,long,2.0,180.77,192.21,0.0,22.879999999999995,,,,,,
29,None,2024-10-30,,AAPL,long,26.0,180.77,187.06,0.0,163.5399999999998,,,,,,
30,None,2024-10-31,,AMZN,long,3.0,144.61,140.64,0.0,-11.910000000000082,,,,,,
31,None,2024-10-31,,AMZN,long,14.0,133.46,140.64,0.0,100.5199999999997,,,,,,
32,None,2024-11-01,,AMZN,long,13.0,133.46,138.51,0.0,65.64999999999978,,,,,,
33,None,2024-11-01,,META,short,12.0,321.45,301.97,0.0,233.75999999999954,,,,,,
34,None,2024-11-01,,META,short,73.0,317.33,301.97,0.0,1121.2799999999968,,,,,,
35,None,2024-11-01,,MSFT,long,3.0,343.57,354.39,0.0,32.45999999999998,,,,,,
36,None,2024-11-01,,MSFT,long,4.0,333.98,354.39,0.0,81.63999999999987,,,,,,
37,None,2024-11-01,,NVDA,short,22.0,476.17,508.22,0.0,-705.1000000000003,,,,,,
38,None,2024-11-01,,NVDA,short,6.0,522.89,508.22,0.0,88.01999999999975,,,,,,
39,None,2024-11-11,,META,short,16.0,317.33,294.2,0.0,370.0799999999999,,,,,,
40,None,2024-11-11,,META,short,7.0,320.27,294.2,0.0,182.48999999999995,,,,,,
41,None,2024-11-15,,AAPL,short,108.0,187.06,181.93,0.0,554.0399999999995,,,,,,
42,None,2024-11-15,,META,long,15.0,294.2,297.56,0.0,50.400000000000205,,,,,,
43,None,2024-11-18,,AAPL,short,17.0,187.06,161.8,0.0,429.41999999999985,,,,,,
44,None,2024-11-18,,MSFT,long,5.0,333.98,316.04,0.0,-89.69999999999999,,,,,,
45,None,2024-11-18,,MSFT,long,12.0,328.15,316.04,0.0,-145.31999999999948,,,,,,
46,None,2024-11-18,,NVDA,short,24.0,522.89,511.44,0.0,274.7999999999997,,,,,,
47,None,2024-11-25,,MSFT,long,11.0,328.15,354.43,0.0,289.0800000000003,,,,,,
48,None,2024-11-25,,MSFT,long,106.0,327.52,354.43,0.0,2852.4600000000028,,,,,,
49,None,2024-11-27,,AAPL,short,16.0,187.06,179.8,0.0,116.15999999999985,,,,,,
50,None,2024-12-05,,AAPL,short,24.0,187.06,188.31,0.0,-30.0,,,,,,
51,None,2024-12-05,,AAPL,short,5.0,192.35,188.31,0.0,20.19999999999996,,,,,,
52,None,2024-12-06,,AAPL,short,7.0,192.35,184.83,0.0,52.63999999999987,,,,,,
53,None,2024-12-06,,AMZN,long,10.0,133.46,129.9,0.0,-35.60000000000002,,,,,,
54,None,2024-12-06,,META,long,7.0,294.2,295.82,0.0,11.340000000000032,,,,,,
55,None,2024-12-06,,META,long,25.0,294.2,324.36,0.0,754.0000000000007,,,,,,
56,None,2024-12-06,,NVDA,short,18.0,522.89,512.05,0.0,195.12000000000057,,,,,,
57,None,2024-12-13,,AAPL,short,9.0,167.86,181.37,0.0,-121.58999999999992,,,,,,
58,None,2024-12-17,,AAPL,short,11.0,167.86,185.88,0.0,-198.2199999999998,,,,,,
59,None,2024-12-17,,AAPL,short,13.0,185.45,185.88,0.0,-5.590000000000089,,,,,,
60,None,2024-12-17,,AAPL,short,16.0,185.45,182.64,0.0,44.960000000000036,,,,,,
61,None,2024-12-17,,TSLA,long,9.0,242.49,241.07,0.0,-12.780000000000143,,,,,,
62,None,2024-12-17,,TSLA,long,20.0,260.16,241.07,0.0,-381.80000000000064,,,,,,
63,None,2024-12-18,,AAPL,short,8.0,185.45,172.61,0.0,102.7199999999998,,,,,,
64,None,2024-12-18,,META,long,14.0,294.2,327.96,0.0,472.6399999999999,,,,,,
65,None,2024-12-18,,MSFT,long,29.0,327.52,342.12,0.0,423.40000000000066,,,,,,
66,None,2024-12-19,,AMZN,long,27.0,133.46,138.32,0.0,131.2199999999996,,,,,,
67,None,2024-12-19,,META,long,28.0,294.2,332.53,0.0,1073.2399999999996,,,,,,
68,None,2024-12-19,,MSFT,long,17.0,327.52,341.89,0.0,244.29000000000008,,,,,,
69,None,2024-12-19,,MSFT,long,1.0,324.35,341.89,0.0,17.539999999999964,,,,,,
